"111","Crystal_Palace","West_Ham","2.39","3.29","3.29","2","2"
"112","Liverpool","Huddersfield","1.25","6.75","13","3","0"
"113","Man_United","Tottenham","2.14","3.39","3.79","1","0"
"114","Watford","Stoke","2.04","3.6","3.79","0","1"
"115","West_Brom","Man_City","11","6.5","1.28","2","3"
"116","Brighton","Southampton","3.29","3.2","2.45","1","1"
"117","Leicester","Everton","2.14","3.39","3.75","2","0"
"118","Burnley","Newcastle","2.89","3.2","2.7","1","0"
"119","Huddersfield","West_Brom","2.79","3","3","1","0"
"120","Newcastle","Bournemouth","2","3.5","4.2","0","1"
"121","Southampton","Burnley","1.66","3.75","6.5","0","1"
"122","Stoke","Leicester","2.7","3.29","2.87","2","2"
"123","Swansea","Brighton","2.39","3.2","3.39","0","1"
"124","West_Ham","Liverpool","5.25","4.33","1.66","1","4"
"125","Chelsea","Man_United","2.5","3.2","3.2","1","0"
"126","Everton","Watford","2.2","3.39","3.6","3","2"
"127","Man_City","Arsenal","1.39","5.5","7.5","3","1"
"128","Tottenham","Crystal_Palace","1.28","6","12","1","0"
"129","Arsenal","Tottenham","2.5","3.6","2.89","2","0"
"130","Bournemouth","Huddersfield","1.83","3.5","5.25","4","0"
"131","Burnley","Swansea","2.14","3.2","4","2","0"
"132","Crystal_Palace","Everton","2.39","3.25","3.29","2","2"
"133","Leicester","Man_City","9.5","5.75","1.33","0","2"
"134","Liverpool","Southampton","1.39","5","9","3","0"
"135","Man_United","Newcastle","1.28","5.75","13","4","1"
"136","West_Brom","Chelsea","6.5","4","1.61","0","4"
"137","Watford","West_Ham","2.1","3.5","3.75","2","0"
"138","Brighton","Stoke","2.39","3.2","3.39","2","2"
"139","West_Ham","Leicester","2.7","3.39","2.75","1","1"
"140","Crystal_Palace","Stoke","2.04","3.5","4","2","1"
"141","Liverpool","Chelsea","2.14","3.6","3.5","1","1"
"142","Man_United","Brighton","1.19","7","19","1","0"
"143","Newcastle","Watford","2.2","3.5","3.5","0","3"
"144","Swansea","Bournemouth","2.79","3.25","2.79","0","0"
"145","Tottenham","West_Brom","1.25","6","16","1","1"
"146","Burnley","Arsenal","6.5","4.5","1.53","0","1"
"147","Huddersfield","Man_City","17","8","1.18","1","2"
"148","Southampton","Everton","1.9","3.39","4.75","4","1"
"149","Brighton","Crystal_Palace","2.7","3.1","3","0","0"
"150","Leicester","Tottenham","5","3.89","1.75","2","1"
